step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
318,037,51,32740,999,194,805,0,102,1,297,0.6531986531986532,0.1941941941941942,0.2993827160493827,0.17604355716878403,0.8058058058058059,0.009717987804878049,4.706989879971758e-05,32.0,30.0,30.75,12.541388034820557,13.237451553344727,13.017189502716064,0,0,0,0,0,0,0,0,999,194,805,0
1392,037,2,32768,2799,1998,801,0,987,0,2985,0.6693467336683417,0.7138263665594855,0.6908713692946058,0.5277337559429477,0.2861736334405145,0.05518899575039141,0.0,37.0,29.0,36.0,12.85071086883545,13.77696418762207,18.782699584960938,0,0,0,0,0,0,0,0,2799,1998,801,0
1898,037,47,32759,2287,1492,795,0,767,9,2268,0.6578483245149912,0.6523830345430696,0.6551042810098793,0.4871041462618348,0.3476169654569305,0.05997341465321761,0.0005089634111858848,35.75,30.0,32.0,13.904394149780273,13.334424018859863,14.004940032958984,0,0,0,0,0,0,0,0,2287,1492,795,0
1180,037,18,32766,2467,1673,789,5,945,6,2624,0.6375762195121951,0.6781516011349817,0.6572382636024356,0.48946752486834405,0.3198216457235509,0.051834786901431625,0.0004971826317533974,35.0,29.0,38.0,16.249494552612305,13.288363456726074,19.90427017211914,0,0,0,0,0,0,0,0,2467,1673,789,5
1532,037,10,32766,2606,1820,785,1,977,33,2830,0.6431095406360424,0.6983883346124329,0.6696100073583517,0.5033185840707964,0.3012279355333845,0.05364594772677356,0.002761968530297958,37.0,29.0,37.0,15.22894287109375,13.830829620361328,18.856945037841797,1,1,0,0,0,0,0,0,2605,1819,785,1
1868,037,0,32766,2882,2100,782,0,1037,55,3192,0.6578947368421053,0.7286606523247745,0.691471847217649,0.5284348263714141,0.27133934767522555,0.05672245924953506,0.004740561972073781,37.0,29.0,35.0,14.616873264312744,13.374631404876709,19.175838470458984,0,0,0,0,0,0,0,0,2882,2100,782,0
797,037,7,32766,2715,1934,781,0,888,9,2831,0.6831508300953727,0.7123388581952118,0.6974395961053012,0.535437430786268,0.2876611418047882,0.04863887823848387,0.000763099881295574,36.0,29.0,33.0,14.486641883850098,13.622682571411133,18.937687873840332,0,0,0,0,0,0,0,0,2715,1934,781,0
402,037,13,32765,1759,979,780,0,797,62,1838,0.5326441784548422,0.5565662308129619,0.5443425076452599,0.3739495798319328,0.4434337691870381,0.04721004620305651,0.004389691305579156,40.0,30.0,40.0,19.03121566772461,13.391022682189941,21.557903289794922,0,0,0,0,0,0,0,0,1759,979,780,0
1959,037,33,32768,1625,846,779,0,389,37,1272,0.6650943396226415,0.5206153846153846,0.5840524680704177,0.41248171623598245,0.4793846153846154,0.02404499938187662,0.002472435683260942,38.5,30.0,39.0,19.69929313659668,14.06468677520752,19.043550491333008,0,0,0,0,0,0,0,0,1625,846,779,0
1138,037,11,32766,2600,1827,773,0,1000,4,2831,0.6453549982338397,0.7026923076923077,0.6728042717731542,0.5069367369589345,0.29730769230769233,0.05420054200542006,0.0003414134516899966,35.0,29.0,36.0,15.785504341125488,13.402297019958496,19.12704563140869,2,2,0,0,0,0,0,0,2598,1825,773,0
