step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
1051,037,52,32762,2754,1689,1065,0,723,388,2800,0.6032142857142857,0.6132897603485838,0.6082102988836874,0.4369987063389392,0.3867102396514161,0.051473729175565995,0.024307730860794387,37.5,29.0,33.0,10.39697265625,11.954390525817871,10.334972381591797,0,0,0,0,0,0,0,0,2754,1689,1065,0
2121,013,38,32641,722,507,207,8,487,379,1373,0.36926438455935906,0.7022160664819944,0.4840095465393795,0.31926952141057935,0.2867036011080332,0.04542063047938817,0.017879888663490117,40.0,30.0,33.0,13.057583808898926,10.437766075134277,15.325874328613281,722,507,207,8,0,0,0,0,0,0,0,0
636,054,19,32766,3471,3308,163,0,1626,377,5311,0.6228582187911881,0.9530394698934025,0.7533591437030289,0.6043112897332846,0.04696053010659752,0.15213323353293412,0.020261192024506908,36.0,29.0,32.0,12.899402141571045,12.097999572753906,14.378998756408691,0,0,0,0,51,51,0,0,3420,3257,163,0
1292,054,17,32759,998,945,53,0,568,377,1890,0.5,0.9468937875751503,0.6544321329639889,0.4863612969634586,0.0531062124248497,0.25323227819884087,0.01277186801273799,35.0,25.0,31.0,15.490226745605469,17.991193771362305,15.958699703216553,0,0,0,0,0,0,0,0,998,945,53,0
810,013,62,32596,444,310,134,0,340,374,1024,0.302734375,0.6981981981981982,0.4223433242506812,0.26770293609671847,0.30180180180180183,0.0529677519862907,0.014533867019002836,41.0,33.0,37.0,22.043278694152832,22.246895790100098,26.24301815032959,373,287,86,0,0,0,0,0,71,23,48,0
1515,013,12,32748,237,158,75,4,199,370,727,0.2173314993122421,0.6666666666666666,0.3278008298755187,0.19602977667493796,0.31645569620253167,0.05330833110099116,0.012857043574953089,49.0,36.0,36.0,32.764394760131836,22.0174617767334,31.706844329833984,237,158,75,4,0,0,0,0,0,0,0,0
1061,013,10,32746,208,165,41,2,250,354,769,0.21456436931079323,0.7932692307692307,0.33776867963152507,0.20320197044334976,0.1971153846153846,0.07482789583956899,0.012124533342466692,47.0,35.0,37.5,31.521453857421875,24.056060791015625,30.37394618988037,208,165,41,2,0,0,0,0,0,0,0,0
2055,054,19,32768,1469,1420,49,0,1010,350,2780,0.5107913669064749,0.966643975493533,0.6683925629559897,0.5019441498762813,0.033356024506466984,0.17211997273346966,0.013762730525736306,44.0,30.0,34.41666603088379,13.820877075195312,15.633119583129883,14.466291904449463,0,0,0,0,51,51,0,0,1418,1369,49,0
1512,013,30,32678,282,179,103,0,259,349,787,0.22744599745870395,0.6347517730496454,0.33489242282507015,0.20112359550561798,0.36524822695035464,0.06147638262520769,0.012383351665897881,49.0,36.0,38.0,30.40704917907715,18.87224578857422,25.41143226623535,278,179,99,0,0,0,0,0,4,0,4,0
24,054,17,32768,143,138,5,0,334,348,820,0.16829268292682928,0.965034965034965,0.2866043613707165,0.16727272727272727,0.03496503496503497,0.17700052994170642,0.011321491313683388,34.0,32.0,33.0,19.568501472473145,16.59658432006836,18.892606735229492,0,0,0,0,99,99,0,0,44,39,5,0
