step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
2153,054,10,32768,1724,1692,29,3,1391,33,3116,0.5430038510911425,0.9814385150812065,0.6991735537190082,0.5374841168996188,0.016821345707656612,0.15452121750722062,0.00149714182016151,35.5,28.0,37.0,16.20377540588379,14.165266990661621,17.138103485107422,41,35,6,0,76,76,0,0,1607,1581,23,3
1460,054,27,32712,2399,2317,79,3,1386,54,3757,0.6167154644663295,0.9658190912880367,0.7527615334632879,0.6035425892159416,0.03293038766152564,0.12093185585900008,0.002864417568427753,52.0,30.0,34.0,10.809535026550293,12.34220027923584,11.269937992095947,26,22,4,0,0,0,0,0,2373,2295,75,3
2030,123,72,32655,1706,1486,220,0,1383,7,2876,0.5166898470097357,0.8710433763188745,0.6486250545613269,0.47997416020671835,0.12895662368112543,0.0857887227839464,0.0004720798489344483,31.0,25.0,29.0,11.044504642486572,15.619672775268555,12.792409896850586,655,577,78,0,0,0,0,0,1051,909,142,0
226,054,6,32766,2110,2004,102,4,1381,11,3396,0.5901060070671378,0.9497630331753555,0.7279331638212859,0.5722444317532839,0.04834123222748815,0.06915719365015774,0.0010292879199026855,38.0,25.0,35.0,18.104799270629883,23.0474796295166,18.548444747924805,183,114,69,0,102,91,11,0,1825,1799,22,4
1948,123,69,32696,1525,1368,154,3,1370,9,2747,0.4979978157990535,0.8970491803278688,0.6404494382022472,0.47107438016528924,0.10098360655737705,0.08445321168783133,0.0006020469596628537,30.75,8.0,29.0,12.625747203826904,31.81417465209961,13.410202980041504,495,461,34,0,0,0,0,0,1030,907,120,3
110,054,3,32768,1679,1596,83,0,1362,0,2958,0.539553752535497,0.950565812983919,0.6883761052404572,0.524827359421243,0.049434187016081,0.07026776040860548,0.0,41.0,29.0,35.0,18.956337928771973,18.684343338012695,19.958134651184082,176,128,48,0,81,63,18,0,1422,1405,17,0
1213,123,72,32656,1689,1508,181,0,1351,7,2866,0.526168876482903,0.8928359976317347,0.6621295279912185,0.4949130292090581,0.10716400236826525,0.08440057474854751,0.0004679144385026738,31.0,17.0,29.0,10.901959419250488,29.92716407775879,12.635024070739746,638,580,58,0,0,0,0,0,1051,928,123,0
1850,054,5,32768,1371,1325,46,0,1349,3,2677,0.49495704146432573,0.9664478482859227,0.6546442687747036,0.4865956665442527,0.03355215171407731,0.19348823866896156,0.00012282497441146365,41.0,20.0,37.0,18.620481491088867,23.90310573577881,19.650283813476562,153,132,21,0,72,62,10,0,1146,1131,15,0
1865,123,69,32701,1395,1290,105,0,1334,2,2626,0.49124143183549124,0.9247311827956989,0.6416314349664263,0.4723544489198096,0.07526881720430108,0.0840685656667507,0.00012955045990413266,31.0,27.0,29.0,12.47734546661377,14.633808135986328,13.282647609710693,495,440,55,0,0,0,0,0,900,850,50,0
1008,054,2,32766,1350,1306,44,0,1316,1,2623,0.49790316431566906,0.9674074074074074,0.6574377045054115,0.48968878890138734,0.03259259259259259,0.11036564911103657,5.130309870716191e-05,42.0,23.0,36.0,19.46120834350586,20.169211387634277,21.1470308303833,119,89,30,0,115,115,0,0,1116,1102,14,0
