step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
2068,054,72,16372,468,79,389,0,53,199,331,252,0.16880341880341881,0.23867069486404835,0.19774718397997496,0.10972222222222222,0.8311965811965812,58.44303894042969,47.0,28.950942993164062,29.5,29.38679313659668,30.0,15.910993576049805,13.248531341552734,15.09988021850586,14.28758430480957
209,054,41,16376,521,127,388,6,98,98,323,196,0.2437619961612284,0.3931888544891641,0.3009478672985782,0.17712691771269176,0.744721689059501,37.135169982910156,34.0,28.03565216064453,29.0,32.07143020629883,33.0,18.719261169433594,20.200082778930664,15.44589900970459,14.305634498596191
531,013,30,16278,589,171,383,35,174,71,416,245,0.2903225806451613,0.4110576923076923,0.3402985074626866,0.20503597122302158,0.6502546689303905,48.03801345825195,42.0,29.94843292236328,30.0,39.215518951416016,35.0,12.4938325881958,12.054962158203125,11.705840110778809,10.987656593322754
436,054,45,16375,539,157,382,0,95,60,312,155,0.2912801484230056,0.5032051282051282,0.3689776733254994,0.22622478386167147,0.7087198515769945,42.84437561035156,37.0,28.975130081176758,29.0,29.676490783691406,29.5,14.873722076416016,11.73827838897705,15.326780319213867,14.561239242553711
851,123,7,16375,714,333,381,0,233,0,566,233,0.46638655462184875,0.588339222614841,0.5203125,0.35163674762407604,0.5336134453781513,53.911476135253906,58.20000457763672,29.791994094848633,30.0,34.934120178222656,33.0,10.777810096740723,8.898755073547363,14.84531307220459,14.618891716003418
939,124,43,16375,713,333,380,0,153,0,486,153,0.4670406732117812,0.6851851851851852,0.5554628857381151,0.384526558891455,0.5329593267882188,48.949798583984375,49.0,28.909210205078125,30.0,32.629085540771484,33.0,15.096420288085938,10.947940826416016,15.933097839355469,15.207047462463379
1210,123,5,16350,507,127,380,0,108,5,240,113,0.2504930966469428,0.5291666666666667,0.34002677376171353,0.20483870967741935,0.7495069033530573,41.22441101074219,34.0,24.56315803527832,28.0,38.657405853271484,32.0,27.09264373779297,25.246700286865234,24.315750122070312,19.946083068847656
991,123,23,16374,552,175,377,0,200,0,375,200,0.3170289855072464,0.4666666666666667,0.3775620280474649,0.2327127659574468,0.6829710144927537,54.4380989074707,48.0,29.7020320892334,30.0,44.8033332824707,36.0,14.513155937194824,13.123515129089355,15.50515079498291,14.9331693649292
2157,054,55,16371,502,126,376,0,57,30,213,87,0.250996015936255,0.5915492957746479,0.35244755244755244,0.21392190152801357,0.749003984063745,46.99934005737305,38.0,29.090646743774414,29.5,28.859649658203125,28.0,14.595026969909668,12.0807466506958,14.949530601501465,14.023641586303711
863,013,25,16213,494,115,375,4,126,10,251,136,0.23279352226720648,0.4581673306772908,0.3087248322147651,0.18253968253968253,0.7591093117408907,53.197105407714844,49.0,32.09422302246094,31.0,38.41798782348633,34.5,15.748167037963867,14.264535903930664,14.759344100952148,13.53779125213623
