step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,lane_recall,lane_to_road_rate,lane_tp_intensity_mean,lane_to_road_intensity_mean,lane_tp_range_mean,lane_to_road_range_mean
43,116,15,16372,148,134,14,0,44,0,0.9054054054054054,0.0945945945945946,40.648006439208984,27.64285659790039,10.615102767944336,11.101801872253418
44,123,70,16368,48,10,16,22,23,13,0.20833333333333334,0.3333333333333333,22.100000381469727,3.875,55.529014587402344,57.123626708984375
45,124,33,16379,517,214,303,0,156,0,0.41392649903288203,0.586073500967118,56.124534606933594,29.931795120239258,12.16604995727539,15.134536743164062
46,116,13,16379,126,118,8,0,53,0,0.9365079365079365,0.06349206349206349,43.348873138427734,25.28125,12.77896499633789,13.36816120147705
47,123,13,16348,226,96,130,0,138,25,0.4247787610619469,0.5752212389380531,34.80208206176758,14.307692527770996,32.73301696777344,35.1163330078125
48,038,13,16383,0,0,0,0,0,9,,,,,,
49,038,57,16381,0,0,0,0,2,39,,,,,,
50,054,1,16384,0,0,0,0,0,0,,,,,,
51,037,49,16377,0,0,0,0,0,0,,,,,,
52,116,15,16375,106,68,38,0,55,0,0.6415094339622641,0.3584905660377358,40.84558868408203,19.236841201782227,20.62433433532715,24.6713924407959
53,038,64,15935,0,0,0,0,0,0,,,,,,
54,038,67,15914,0,0,0,0,0,0,,,,,,
55,034,54,16383,0,0,0,0,10,0,,,,,,
56,037,16,16384,0,0,0,0,9,0,,,,,,
57,013,69,16150,394,204,184,6,114,20,0.5177664974619289,0.467005076142132,47.18382263183594,31.08469009399414,11.959060668945312,11.938621520996094
58,054,41,16354,85,46,39,0,79,70,0.5411764705882353,0.4588235294117647,33.05434799194336,8.948718070983887,37.62159729003906,50.00217056274414
59,034,29,16375,0,0,0,0,4,0,,,,,,
60,054,5,16384,0,0,0,0,0,0,,,,,,
61,037,43,16384,0,0,0,0,0,1,,,,,,
62,037,28,16379,0,0,0,0,6,10,,,,,,
63,034,64,16383,0,0,0,0,0,0,,,,,,
64,038,0,16380,0,0,0,0,0,0,,,,,,
65,034,20,16378,0,0,0,0,13,0,,,,,,
66,123,36,16360,126,63,59,4,138,0,0.5,0.46825396825396826,48.13492202758789,12.118643760681152,30.27482032775879,31.51089096069336
67,116,6,16362,69,35,23,11,47,0,0.5072463768115942,0.3333333333333333,29.157142639160156,12.30434799194336,30.756343841552734,29.940034866333008
68,013,66,16189,368,174,185,9,69,10,0.47282608695652173,0.5027173913043478,42.57183837890625,31.08108139038086,12.159987449645996,11.89008617401123
69,106,28,16332,63,63,0,0,35,0,1.0,0.0,46.650794982910156,,14.201279640197754,
70,034,19,16371,0,0,0,0,0,0,,,,,,
71,116,47,16367,16,12,4,0,10,0,0.75,0.25,65.79166412353516,33.125,15.313286781311035,15.310302734375
72,038,23,16376,0,0,0,0,13,3,,,,,,
73,116,64,16360,495,151,344,0,86,1,0.30505050505050507,0.694949494949495,39.980133056640625,21.3905029296875,26.35163688659668,20.663122177124023
74,013,60,16364,106,68,11,27,155,8,0.6415094339622641,0.10377358490566038,43.60293960571289,11.818181991577148,33.2309684753418,55.861202239990234
75,123,57,16355,272,139,132,1,141,0,0.5110294117647058,0.4852941176470588,44.201438903808594,28.56818199157715,22.403053283691406,19.225326538085938
76,037,73,16366,0,0,0,0,0,0,,,,,,
77,116,51,16344,250,231,19,0,60,0,0.924,0.076,46.344154357910156,28.061405181884766,10.930898666381836,11.010941505432129
78,038,14,16377,0,0,0,0,0,0,,,,,,
79,054,34,16342,37,0,37,0,140,577,0.0,1.0,,32.42792510986328,,12.01127815246582
80,123,67,16352,255,153,102,0,201,39,0.6,0.4,49.946624755859375,30.068628311157227,17.603046417236328,16.186832427978516
81,038,50,16383,0,0,0,0,0,1,,,,,,
82,124,13,16375,0,0,0,0,0,0,,,,,,
83,124,53,16354,216,164,14,38,240,4,0.7592592592592593,0.06481481481481481,48.20731735229492,17.85714340209961,27.44619369506836,28.6621036529541
84,013,70,16378,178,43,111,24,22,7,0.24157303370786518,0.6235955056179775,47.74418640136719,36.819820404052734,30.32866096496582,22.780569076538086
85,106,74,16373,105,54,49,2,24,1,0.5142857142857142,0.4666666666666667,50.16666793823242,11.897958755493164,28.926132202148438,35.0126838684082
86,013,7,16258,282,138,144,0,127,57,0.48936170212765956,0.5106382978723404,47.675724029541016,34.20138931274414,19.391695022583008,16.596303939819336
87,106,78,16380,29,29,0,0,45,0,1.0,0.0,44.72413635253906,,23.735824584960938,
88,123,71,16280,308,284,9,15,334,76,0.922077922077922,0.02922077922077922,59.2423095703125,34.33333206176758,11.023163795471191,14.218095779418945
89,106,15,16382,160,149,11,0,49,0,0.93125,0.06875,42.092281341552734,32.772727966308594,13.373169898986816,15.883027076721191
90,123,38,16371,31,31,0,0,60,0,1.0,0.0,61.82258224487305,,16.78426170349121,
91,038,49,16375,0,0,0,0,0,0,,,,,,
92,123,60,16374,107,100,3,4,236,20,0.9345794392523364,0.028037383177570093,54.994998931884766,16.33333396911621,19.664878845214844,28.276283264160156
93,038,36,16380,0,0,0,0,0,0,,,,,,
94,038,35,15865,0,0,0,0,0,0,,,,,,
95,106,1,16330,3,2,1,0,1,0,0.6666666666666666,0.3333333333333333,40.0,33.0,16.345783233642578,16.520366668701172
96,038,50,16380,0,0,0,0,0,0,,,,,,
97,037,36,16382,0,0,0,0,0,2,,,,,,
98,054,47,16382,127,124,3,0,162,343,0.9763779527559056,0.023622047244094488,43.40550994873047,25.33333396911621,9.723119735717773,9.347163200378418
99,124,10,16362,0,0,0,0,0,0,,,,,,
100,123,64,16382,51,28,17,6,116,7,0.5490196078431373,0.3333333333333333,54.5,4.823529243469238,25.867441177368164,55.74637985229492
101,106,48,16383,178,63,115,0,19,0,0.3539325842696629,0.6460674157303371,44.64285659790039,28.590579986572266,14.402806282043457,9.317004203796387
102,106,52,16384,199,193,6,0,58,0,0.9698492462311558,0.03015075376884422,42.37910079956055,33.5,12.610323905944824,14.521166801452637
103,124,2,16378,401,104,288,9,91,0,0.2593516209476309,0.7182044887780549,66.09983825683594,28.79340362548828,12.554586410522461,12.891266822814941
104,038,58,16335,0,0,0,0,0,0,,,,,,
105,054,1,16384,231,116,115,0,113,116,0.5021645021645021,0.49783549783549785,44.9219856262207,26.111448287963867,10.646650314331055,11.303328514099121
106,038,69,16263,0,0,0,0,0,0,,,,,,
107,106,11,16270,218,172,46,0,37,2,0.7889908256880734,0.21100917431192662,39.50242233276367,28.054346084594727,13.312121391296387,11.38912582397461
108,116,54,16370,333,114,219,0,68,0,0.34234234234234234,0.6576576576576577,57.53070068359375,25.924657821655273,15.876472473144531,16.195844650268555
109,037,70,16335,0,0,0,0,0,0,,,,,,
110,054,3,16384,102,45,57,0,29,136,0.4411764705882353,0.5588235294117647,44.61111068725586,29.701753616333008,13.668219566345215,13.565287590026855
111,034,70,16382,0,0,0,0,17,0,,,,,,
112,054,74,16373,238,123,115,0,64,243,0.5168067226890757,0.4831932773109244,43.203250885009766,25.169565200805664,28.904586791992188,23.056352615356445
113,038,76,15782,0,0,0,0,0,0,,,,,,
114,116,42,16375,0,0,0,0,1,0,,,,,,
115,013,28,16321,548,164,346,38,104,46,0.29927007299270075,0.6313868613138686,44.643802642822266,28.397878646850586,12.264908790588379,11.243535041809082
116,054,76,16357,397,60,337,0,71,396,0.15113350125944586,0.8488664987405542,54.474998474121094,29.762611389160156,20.332868576049805,16.6989688873291
117,054,67,16378,287,117,170,0,99,352,0.4076655052264808,0.5923344947735192,46.35470199584961,29.438236236572266,24.293228149414062,19.561357498168945
118,106,50,16378,41,41,0,0,20,1,1.0,0.0,51.95121765136719,,29.335731506347656,
119,054,63,16381,494,83,411,0,40,122,0.1680161943319838,0.8319838056680162,52.76506042480469,29.076642990112305,15.014472961425781,15.349183082580566
120,037,23,16381,0,0,0,0,4,9,,,,,,
121,013,36,16378,427,148,265,14,106,3,0.34660421545667447,0.6206088992974239,45.541099548339844,29.44371223449707,11.266469955444336,10.660008430480957
122,106,59,16383,229,217,12,0,53,0,0.9475982532751092,0.05240174672489083,40.7365608215332,27.66666603088379,11.969117164611816,10.783660888671875
123,013,67,16175,463,221,225,17,115,17,0.4773218142548596,0.48596112311015116,46.34124755859375,33.52000045776367,17.329580307006836,17.44200325012207
124,116,14,16377,181,134,47,0,59,6,0.7403314917127072,0.2596685082872928,42.60883331298828,29.32978630065918,11.910290718078613,14.8421049118042
125,124,70,16376,208,196,12,0,190,0,0.9423076923076923,0.057692307692307696,65.07551574707031,33.5,13.042318344116211,15.960278511047363
126,116,64,16368,38,35,3,0,54,0,0.9210526315789473,0.07894736842105263,57.97142791748047,34.0,14.807821273803711,16.23566436767578
127,013,35,16313,442,122,277,43,71,7,0.27601809954751133,0.6266968325791855,47.185794830322266,28.976533889770508,11.354044914245605,10.87743091583252
128,054,54,16380,86,59,27,0,51,85,0.686046511627907,0.313953488372093,31.084745407104492,5.592592716217041,42.83425521850586,63.58443069458008
129,116,39,16358,360,127,233,0,77,34,0.3527777777777778,0.6472222222222223,45.59973907470703,22.957080841064453,17.350093841552734,20.25766944885254
130,037,51,16363,0,0,0,0,1,0,,,,,,
131,037,8,16379,0,0,0,0,0,7,,,,,,
132,124,72,16379,242,239,3,0,182,0,0.987603305785124,0.012396694214876033,53.18486785888672,33.66666793823242,11.49061393737793,15.690528869628906
133,054,31,16380,0,0,0,0,0,1,,,,,,
134,038,66,16356,0,0,0,0,0,1,,,,,,
135,034,9,16379,0,0,0,0,8,0,,,,,,
136,013,19,16377,180,72,105,3,86,1,0.4,0.5833333333333334,53.31296920776367,28.047618865966797,10.994376182556152,10.906254768371582
137,123,18,16366,476,139,337,0,165,22,0.2920168067226891,0.707983193277311,44.471221923828125,29.037588119506836,22.38406753540039,18.41638946533203
138,123,76,16338,172,137,35,0,195,0,0.7965116279069767,0.20348837209302326,56.38685989379883,31.014286041259766,15.64370059967041,16.576974868774414
139,037,4,16377,0,0,0,0,1,8,,,,,,
140,106,43,16383,83,67,16,0,20,1,0.8072289156626506,0.1927710843373494,37.17910385131836,29.875,13.707742691040039,13.82125473022461
141,034,48,16384,0,0,0,0,1,0,,,,,,
142,034,74,16380,0,0,0,0,0,0,,,,,,
143,124,68,16375,302,212,70,20,143,0,0.7019867549668874,0.23178807947019867,38.38679122924805,25.14285659790039,28.703405380249023,26.393646240234375
144,116,33,16375,68,39,29,0,53,1,0.5735294117647058,0.4264705882352941,48.89743423461914,13.275861740112305,20.225704193115234,26.657882690429688
145,123,4,16360,477,183,294,0,119,0,0.3836477987421384,0.6163522012578616,59.197635650634766,29.420745849609375,11.760798454284668,13.608640670776367
146,116,23,16346,106,77,29,0,38,0,0.7264150943396226,0.27358490566037735,37.988094329833984,27.307470321655273,9.141752243041992,10.55445384979248
147,013,51,16376,46,28,12,6,34,23,0.6086956521739131,0.2608695652173913,49.42856979370117,12.0,37.62721633911133,59.68893051147461
148,124,2,16371,145,60,85,0,86,0,0.41379310344827586,0.5862068965517241,63.45833206176758,29.17058753967285,16.978166580200195,16.915271759033203
149,054,27,16346,38,12,26,0,118,567,0.3157894736842105,0.6842105263157895,22.66666603088379,25.0,20.458154678344727,15.205440521240234
150,037,8,16381,0,0,0,0,0,0,,,,,,
151,106,57,16380,53,52,1,0,35,0,0.9811320754716981,0.018867924528301886,48.403846740722656,25.0,22.74372673034668,28.323204040527344
152,123,10,16354,150,75,71,4,164,9,0.5,0.47333333333333333,38.2400016784668,10.295774459838867,34.36398696899414,39.36385726928711
153,123,49,16366,512,192,320,0,301,105,0.375,0.625,57.430118560791016,29.77734375,13.574188232421875,15.952913284301758
154,034,43,16379,0,0,0,0,5,0,,,,,,
155,123,62,16369,46,30,6,10,91,28,0.6521739130434783,0.13043478260869565,51.93333435058594,9.5,28.435382843017578,54.08758544921875
156,124,5,16364,59,28,31,0,27,0,0.4745762711864407,0.5254237288135594,31.85714340209961,10.77419376373291,45.52307891845703,45.9632453918457
157,116,66,16363,207,109,98,0,136,42,0.5265700483091788,0.47342995169082125,25.95412826538086,6.102040767669678,51.65025329589844,44.76536178588867
158,124,7,16364,0,0,0,0,4,0,,,,,,
159,123,4,16363,198,175,23,0,134,0,0.8838383838383839,0.11616161616161616,57.43524169921875,31.555797576904297,11.989182472229004,9.582968711853027
160,124,79,16376,594,256,338,0,128,0,0.43097643097643096,0.569023569023569,52.99336242675781,30.359466552734375,10.927984237670898,13.763859748840332
161,054,25,16348,0,0,0,0,147,658,,,,,,
162,124,61,16361,64,40,24,0,48,36,0.625,0.375,39.45000076293945,6.541666507720947,46.97552490234375,50.367828369140625
163,013,22,16336,104,90,14,0,91,27,0.8653846153846154,0.1346153846153846,46.94444274902344,10.928571701049805,39.634300231933594,52.77582931518555
164,037,68,16365,0,0,0,0,0,0,,,,,,
165,038,41,16378,0,0,0,0,1,4,,,,,,
166,038,7,16381,0,0,0,0,0,0,,,,,,
167,013,32,16362,203,74,94,35,30,5,0.3645320197044335,0.4630541871921182,52.64864730834961,34.3138313293457,34.0286865234375,28.948467254638672
168,106,64,16383,135,125,10,0,56,2,0.9259259259259259,0.07407407407407407,40.70199966430664,34.099998474121094,13.834335327148438,17.347042083740234
169,038,59,16381,0,0,0,0,0,0,,,,,,
170,124,71,16378,75,69,6,0,177,17,0.92,0.08,41.130435943603516,6.833333492279053,39.66886520385742,51.44295120239258
171,038,41,16374,0,0,0,0,0,0,,,,,,
172,123,77,16330,151,133,18,0,188,0,0.8807947019867549,0.11920529801324503,58.323307037353516,29.86111068725586,14.609597206115723,16.633914947509766
173,054,22,16378,0,0,0,0,0,0,,,,,,
174,116,76,16377,293,88,205,0,57,0,0.3003412969283277,0.6996587030716723,47.0511360168457,28.33414649963379,13.968425750732422,14.806118965148926
175,054,14,16378,47,39,8,0,51,135,0.8297872340425532,0.1702127659574468,30.28846549987793,33.631248474121094,9.84859561920166,9.739805221557617
176,013,72,16379,105,53,19,33,56,2,0.5047619047619047,0.18095238095238095,42.20754623413086,14.631579399108887,32.162628173828125,50.6168327331543
177,106,61,16382,77,62,15,0,15,19,0.8051948051948052,0.19480519480519481,34.54838562011719,5.666666507720947,42.41896057128906,43.375770568847656
178,037,71,16323,0,0,0,0,0,0,,,,,,
179,116,36,16381,120,104,16,0,62,0,0.8666666666666667,0.13333333333333333,44.535255432128906,25.09375,14.286616325378418,12.898284912109375
180,116,34,16349,324,134,177,13,91,143,0.41358024691358025,0.5462962962962963,27.62686538696289,11.96610164642334,40.379295349121094,31.56887435913086
181,037,18,16383,0,0,0,0,0,0,,,,,,
182,106,79,16376,47,46,1,0,35,0,0.9787234042553191,0.02127659574468085,49.03260803222656,34.0,22.80580711364746,28.633325576782227
183,038,18,16370,0,0,0,0,1,1,,,,,,
184,116,72,16323,99,96,3,0,48,2,0.9696969696969697,0.030303030303030304,46.925350189208984,27.66666603088379,11.3930025100708,12.612022399902344
185,123,57,16363,304,92,207,5,78,4,0.3026315789473684,0.680921052631579,43.3967399597168,28.384057998657227,24.36096954345703,19.861480712890625
186,034,17,16384,0,0,0,0,7,0,,,,,,
187,054,72,16374,126,104,22,0,111,210,0.8253968253968254,0.1746031746031746,38.45192337036133,9.363636016845703,33.6240119934082,46.10694885253906
188,034,40,16382,0,0,0,0,14,0,,,,,,
189,106,14,16378,82,59,17,6,35,0,0.7195121951219512,0.2073170731707317,39.88983154296875,18.117647171020508,27.71484375,31.25682830810547
190,106,58,16376,79,59,18,2,36,0,0.7468354430379747,0.22784810126582278,50.20338821411133,16.83333396911621,22.26917839050293,31.15199089050293
191,124,54,16376,711,355,356,0,148,0,0.49929676511954996,0.5007032348804501,54.829345703125,29.80678939819336,10.347726821899414,14.12679386138916
192,013,56,16151,486,254,228,4,179,19,0.522633744855967,0.4691358024691358,48.14882278442383,32.03216552734375,12.921708106994629,15.387652397155762
193,124,71,16378,200,200,0,0,182,0,1.0,0.0,63.287010192871094,,11.34797477722168,
194,124,30,16381,299,128,171,0,106,1,0.4280936454849498,0.5719063545150501,63.498695373535156,28.42056655883789,12.311816215515137,13.224976539611816
195,013,62,16373,274,81,142,51,40,10,0.2956204379562044,0.5182481751824818,47.049381256103516,34.08098602294922,24.361404418945312,24.63456153869629
196,038,28,16376,0,0,0,0,6,0,,,,,,
197,034,56,16383,0,0,0,0,0,0,,,,,,
198,038,61,15946,0,0,0,0,0,0,,,,,,
199,038,29,16366,0,0,0,0,9,0,,,,,,
200,037,58,16337,0,0,0,0,0,0,,,,,,
201,123,33,16384,611,300,311,0,213,43,0.4909983633387889,0.5090016366612111,56.18735122680664,28.34967803955078,10.556375503540039,13.11003589630127
202,034,58,16367,0,0,0,0,3,0,,,,,,
203,106,16,16384,174,156,18,0,30,0,0.896551724137931,0.10344827586206896,42.209617614746094,29.52037239074707,11.714685440063477,11.0613431930542
204,054,74,16354,316,97,219,0,78,364,0.3069620253164557,0.6930379746835443,60.96735382080078,29.917808532714844,12.840938568115234,13.455986022949219
205,106,64,16383,161,146,15,0,53,0,0.906832298136646,0.09316770186335403,41.292808532714844,28.233333587646484,12.955251693725586,11.740107536315918
206,037,70,16345,0,0,0,0,0,0,,,,,,
207,106,21,16365,162,136,26,0,34,3,0.8395061728395061,0.16049382716049382,42.767154693603516,31.375,15.292826652526855,13.072127342224121
208,123,32,16377,584,242,342,0,199,47,0.4143835616438356,0.5856164383561644,56.62445068359375,29.629140853881836,12.114278793334961,14.711034774780273
209,054,41,16376,521,127,388,6,98,98,0.2437619961612284,0.744721689059501,37.135169982910156,28.03565216064453,18.719261169433594,15.44589900970459
210,124,76,16381,283,277,6,0,128,0,0.9787985865724381,0.02120141342756184,56.96017074584961,26.5,12.343378067016602,12.415733337402344
211,116,50,16344,145,137,8,0,57,0,0.9448275862068966,0.05517241379310345,48.70048904418945,28.0,11.259950637817383,11.815845489501953
212,106,78,16383,250,228,22,0,61,0,0.912,0.088,43.34028244018555,25.136363983154297,11.4226655960083,13.862448692321777
213,038,38,16333,0,0,0,0,0,0,,,,,,
214,013,44,16376,303,139,155,9,74,12,0.45874587458745875,0.5115511551155115,50.6223030090332,33.06774139404297,27.402021408081055,25.301738739013672
215,106,71,16384,178,170,8,0,25,0,0.9550561797752809,0.0449438202247191,43.30882263183594,27.875,11.768117904663086,10.36599063873291
216,123,12,16363,396,136,260,0,169,0,0.3434343434343434,0.6565656565656566,50.132354736328125,28.6019229888916,21.805789947509766,20.050918579101562
217,116,63,16354,120,65,55,0,81,0,0.5416666666666666,0.4583333333333333,56.43077087402344,23.200000762939453,18.40299415588379,19.825960159301758
218,034,62,16372,0,0,0,0,7,0,,,,,,
219,116,2,16347,29,9,20,0,16,0,0.3103448275862069,0.6896551724137931,49.88888931274414,29.674999237060547,25.49443817138672,18.382957458496094
220,054,77,16369,365,58,307,0,62,354,0.1589041095890411,0.8410958904109589,63.738502502441406,28.998371124267578,13.242400169372559,13.123489379882812
221,034,16,16379,0,0,0,0,0,0,,,,,,
222,034,26,16383,0,0,0,0,1,3,,,,,,
223,034,47,16383,0,0,0,0,0,0,,,,,,
224,037,73,16358,0,0,0,0,0,0,,,,,,
225,054,4,16384,63,22,41,0,44,113,0.3492063492063492,0.6507936507936508,47.318180084228516,29.35365867614746,12.136300086975098,12.412854194641113
226,054,6,16384,125,50,75,0,60,110,0.4,0.6,38.974998474121094,18.213333129882812,12.774785041809082,19.967283248901367
227,013,69,16379,294,106,162,26,73,25,0.36054421768707484,0.5510204081632653,46.372642517089844,35.60287857055664,22.328550338745117,21.029767990112305
228,106,40,16381,62,29,33,0,13,0,0.46774193548387094,0.532258064516129,43.77586364746094,36.0,20.009471893310547,17.188167572021484
229,037,23,16381,0,0,0,0,0,1,,,,,,
230,038,14,16376,0,0,0,0,10,2,,,,,,
231,106,79,16383,125,113,12,0,26,0,0.904,0.096,44.7308235168457,24.70833396911621,16.088647842407227,14.470550537109375
232,106,70,16384,137,126,11,0,42,0,0.9197080291970803,0.08029197080291971,38.8875617980957,28.272727966308594,11.881752014160156,12.773741722106934
233,038,19,16377,0,0,0,0,0,0,,,,,,
234,106,8,16301,193,170,23,0,45,1,0.8808290155440415,0.11917098445595854,38.98167037963867,29.0,13.024630546569824,11.967392921447754
235,106,49,16381,82,54,11,17,26,0,0.6585365853658537,0.13414634146341464,43.44444274902344,20.090909957885742,27.671485900878906,29.577686309814453
236,054,48,16383,97,63,34,0,84,99,0.6494845360824743,0.35051546391752575,34.19047546386719,7.676470756530762,38.31214141845703,62.439144134521484
237,054,12,16381,120,72,48,0,87,12,0.6,0.4,20.81944465637207,2.6875,29.088966369628906,41.71831512451172
238,037,37,16384,0,0,0,0,0,0,,,,,,
239,037,36,16383,0,0,0,0,8,24,,,,,,
240,054,24,16384,0,0,0,0,0,0,,,,,,
241,037,40,16372,0,0,0,0,6,1,,,,,,
242,037,11,16383,0,0,0,0,3,74,,,,,,
243,038,4,15899,0,0,0,0,0,0,,,,,,
244,116,54,16368,458,166,292,0,100,0,0.3624454148471616,0.6375545851528385,48.98192596435547,22.964040756225586,19.721622467041016,19.003564834594727
245,013,16,16234,438,233,205,0,167,0,0.5319634703196348,0.4680365296803653,45.13626480102539,30.056503295898438,12.247599601745605,12.218711853027344
246,106,40,16378,45,27,8,10,32,17,0.6,0.17777777777777778,43.37036895751953,4.875,42.40818405151367,52.226539611816406
247,123,74,16360,302,92,210,0,141,3,0.304635761589404,0.695364238410596,59.361412048339844,29.055952072143555,16.132169723510742,14.416901588439941
248,037,79,16352,0,0,0,0,8,1,,,,,,
249,034,19,16384,0,0,0,0,1,0,,,,,,
250,124,1,16380,0,0,0,0,3,0,,,,,,
251,013,25,16332,498,123,371,4,142,10,0.2469879518072289,0.7449799196787149,57.94580078125,31.804582595825195,11.842034339904785,13.47270393371582
252,106,50,16383,101,96,5,0,50,0,0.9504950495049505,0.04950495049504951,45.1484375,28.299999237060547,14.227901458740234,14.327006340026855
253,037,49,16378,0,0,0,0,5,9,,,,,,
254,123,19,16365,502,150,352,0,104,11,0.29880478087649404,0.701195219123506,38.086666107177734,24.960227966308594,27.01610565185547,24.4705810546875
255,106,30,16318,126,124,2,0,34,0,0.9841269841269841,0.015873015873015872,46.2607536315918,37.0,12.08620834350586,10.85616397857666
256,037,29,16383,0,0,0,0,0,8,,,,,,
257,037,64,16383,0,0,0,0,0,0,,,,,,
258,034,31,16384,0,0,0,0,3,0,,,,,,
259,106,45,16384,177,112,65,0,30,0,0.632768361581921,0.3672316384180791,38.00223159790039,29.652565002441406,11.289779663085938,11.763672828674316
260,034,44,16384,0,0,0,0,1,0,,,,,,
261,054,14,16379,0,0,0,0,0,3,,,,,,
262,037,25,16380,0,0,0,0,0,26,,,,,,
263,038,42,16375,0,0,0,0,0,0,,,,,,
264,054,18,16384,0,0,0,0,0,0,,,,,,
265,013,65,16206,373,135,224,14,57,7,0.36193029490616624,0.6005361930294906,43.012962341308594,31.37276840209961,12.787192344665527,11.728001594543457
266,054,62,16381,169,83,86,0,30,177,0.4911242603550296,0.5088757396449705,40.9156608581543,26.802326202392578,31.030277252197266,23.861705780029297
267,124,70,16382,70,67,2,1,128,0,0.9571428571428572,0.02857142857142857,52.582088470458984,17.0,35.38068389892578,45.682106018066406
268,124,54,16371,331,324,7,0,126,3,0.9788519637462235,0.021148036253776436,53.12010955810547,28.542858123779297,9.456619262695312,9.126164436340332
