step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,lane_recall,lane_to_road_rate,lane_tp_intensity_mean,lane_to_road_intensity_mean,lane_tp_range_mean,lane_to_road_range_mean
1675,013,30,16285,541,149,365,27,137,53,0.2754158964879852,0.6746765249537893,47.9731559753418,30.535846710205078,12.739684104919434,12.168831825256348
1258,054,56,16378,512,147,365,0,90,317,0.287109375,0.712890625,47.13786697387695,29.212923049926758,12.87514877319336,14.4735107421875
975,054,40,16326,423,58,365,0,142,275,0.13711583924349882,0.8628841607565012,42.52011489868164,28.360729217529297,13.562764167785645,13.189522743225098
632,013,27,16221,580,199,364,17,131,4,0.3431034482758621,0.6275862068965518,40.87102127075195,28.96726417541504,12.433863639831543,11.609877586364746
1126,054,55,16367,484,120,364,0,81,322,0.24793388429752067,0.7520661157024794,47.62430953979492,29.314788818359375,14.326460838317871,14.59568977355957
955,013,31,16270,606,206,363,37,188,116,0.33993399339933994,0.599009900990099,48.23948669433594,28.86547088623047,10.732680320739746,10.729226112365723
995,123,13,16350,482,119,363,0,128,17,0.24688796680497926,0.7531120331950207,40.60924530029297,24.62809944152832,26.946006774902344,25.207557678222656
1509,054,57,16380,524,161,362,1,72,317,0.30725190839694655,0.6908396946564885,47.8057975769043,28.856121063232422,11.065802574157715,13.395917892456055
1788,124,45,16357,526,166,360,0,148,0,0.3155893536121673,0.6844106463878327,58.75,30.051389694213867,17.564367294311523,16.631229400634766
1255,054,56,16378,514,154,360,0,106,277,0.29961089494163423,0.7003891050583657,46.508548736572266,29.07685089111328,13.140922546386719,14.442543029785156
191,124,54,16376,711,355,356,0,148,0,0.49929676511954996,0.5007032348804501,54.829345703125,29.80678939819336,10.347726821899414,14.12679386138916
634,123,16,16381,516,160,356,0,138,0,0.31007751937984496,0.689922480620155,56.4958381652832,29.165340423583984,12.549860000610352,13.867178916931152
738,054,67,16383,474,118,356,0,97,351,0.2489451476793249,0.7510548523206751,55.653953552246094,27.688669204711914,11.362398147583008,14.370413780212402
