step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
1981,054,64,32761,0.0,1196,1015,711,304,485,0.474,0.7004926108374384,0.5944816053511706,0.6431478968792401,0.8486622073578596,303,485,1
721,054,73,32747,0.0,1342,1131,858,273,484,0.5312693498452012,0.7586206896551724,0.639344262295082,0.6938940558026688,0.8427719821162444,272,484,1
1074,054,13,32766,0.9325215162058231,3054,3504,2570,934,484,0.6444332998996991,0.7334474885844748,0.8415193189259987,0.7837755413235743,1.1473477406679764,927,484,7
1959,037,33,32768,0.81982421875,1625,1471,1142,329,483,0.5844421699078812,0.7763426240652618,0.7027692307692308,0.7377260981912145,0.9052307692307693,327,483,2
238,037,37,32757,0.8737063833684403,1665,1511,1183,328,482,0.5935775213246363,0.7829252150893448,0.7105105105105105,0.7449622166246851,0.9075075075075075,322,482,6
1163,037,33,32768,0.807647705078125,1640,1514,1158,356,482,0.5801603206412825,0.7648612945838837,0.7060975609756097,0.7343056436271401,0.9231707317073171,356,482,0
1877,037,33,32765,0.8079658171829697,1640,1636,1162,474,478,0.5496688741721855,0.7102689486552567,0.7085365853658536,0.7094017094017094,0.9975609756097561,474,478,0
2042,037,63,32749,0.8480564292039452,615,539,140,399,475,0.13806706114398423,0.2597402597402597,0.22764227642276422,0.24263431542461006,0.8764227642276423,399,475,0
563,037,25,32765,0.8480390660766062,1702,1684,1230,454,472,0.5705009276437848,0.7304038004750594,0.7226792009400705,0.7265209686946249,0.9894242068155111,454,472,0
2110,037,41,32766,0.8163340047610328,1770,1588,1299,289,471,0.6308887809616318,0.8180100755667506,0.7338983050847457,0.7736748064324003,0.8971751412429378,289,471,0
1588,054,58,32752,0.0,1327,1135,860,275,467,0.5368289637952559,0.7577092511013216,0.6480783722682742,0.6986190089358245,0.8553127354935945,275,467,0
595,037,24,32766,0.8307086614173228,1697,1588,1231,357,466,0.5993184031158715,0.7751889168765743,0.7253977607542722,0.7494672754946727,0.9357690041249264,356,466,1
1041,037,7,32766,0.8337606055057072,2723,2968,2256,712,467,0.6567685589519651,0.7601078167115903,0.8284979801689313,0.7928307854507116,1.0899742930591259,712,466,0
606,037,63,32758,0.8588741681421332,615,545,150,395,465,0.1485148514851485,0.27522935779816515,0.24390243902439024,0.25862068965517243,0.8861788617886179,395,465,0
1701,037,27,32766,0.827168406274797,1625,1595,1155,440,470,0.559322033898305,0.7241379310344828,0.7107692307692308,0.717391304347826,0.9815384615384616,440,465,0
530,054,67,32756,0.0,1441,1339,977,362,464,0.5418746533555185,0.7296489917849142,0.678001387925052,0.7028776978417266,0.9292158223455933,362,464,0
242,037,11,32766,0.8321735945797473,2600,2696,2137,559,463,0.6764798987021209,0.7926557863501483,0.821923076923077,0.80702416918429,1.0369230769230768,559,463,0
97,037,36,32764,0.7748748626541326,1641,1567,1179,388,462,0.5810744208969936,0.7523931078493937,0.7184643510054844,0.7350374064837906,0.9549055453991468,388,462,0
534,054,65,32758,0.0,1409,1300,950,350,459,0.5400795906765208,0.7307692307692307,0.674237047551455,0.7013658176448874,0.9226401703335699,349,459,1
