step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
17,013,29,32716,0.8469861841300893,324,714,278,436,46,0.36578947368421055,0.38935574229691877,0.8580246913580247,0.535645472061657,2.2037037037037037,239,42,197
18,037,41,32761,0.8072097921308873,1770,1789,1325,464,445,0.5931065353625783,0.7406372275013974,0.748587570621469,0.7445911772969935,1.0107344632768362,454,445,10
19,106,5,32686,0.8675885700299822,148,251,143,108,5,0.55859375,0.5697211155378487,0.9662162162162162,0.7167919799498746,1.695945945945946,105,5,3
20,116,20,32671,0.8760674604389214,548,648,438,210,110,0.5778364116094987,0.6759259259259259,0.7992700729927007,0.7324414715719063,1.1824817518248176,206,110,4
21,123,61,32741,0.8026633273265936,943,1548,615,933,328,0.32782515991471217,0.39728682170542634,0.6521739130434783,0.49377759935768767,1.6415694591728527,870,320,63
22,116,4,32675,0.9193267023718439,118,140,57,83,61,0.2835820895522388,0.40714285714285714,0.4830508474576271,0.4418604651162791,1.1864406779661016,83,59,0
23,013,15,32607,0.8016683534210446,452,805,399,406,53,0.46503496503496505,0.4956521739130435,0.8827433628318584,0.6348448687350835,1.7809734513274336,341,53,65
24,054,17,32768,0.0,143,389,119,270,24,0.288135593220339,0.3059125964010283,0.8321678321678322,0.4473684210526316,2.7202797202797204,193,24,77
25,054,30,32654,0.0,1876,2751,1689,1062,187,0.5748808713410484,0.613958560523446,0.900319829424307,0.7300626755997407,1.4664179104477613,1008,185,54
26,034,66,32756,0.897209671510563,0,18,0,18,0,0.0,0.0,nan,0.0,nan,18,0,0
27,038,40,32438,0.8894198162648745,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
28,038,11,32757,0.9216045425405257,21,41,12,29,9,0.24,0.2926829268292683,0.5714285714285714,0.3870967741935484,1.9523809523809523,13,9,16
29,124,60,32742,0.8454889744059617,611,1231,600,631,11,0.4830917874396135,0.487408610885459,0.9819967266775778,0.6514657980456026,2.0147299509001635,591,11,40
30,038,5,32298,0.8890333766796705,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
31,106,69,32764,0.8735197167623001,201,249,198,51,3,0.7857142857142857,0.7951807228915663,0.9850746268656716,0.88,1.2388059701492538,51,3,0
32,123,2,32733,0.7986435707084594,625,1270,502,768,123,0.3603732950466619,0.3952755905511811,0.8032,0.5298153034300792,2.032,768,123,0
33,034,31,32757,0.8711115181487926,0,9,0,9,0,0.0,0.0,nan,0.0,nan,8,0,1
34,037,24,32766,0.8307086614173228,1697,1693,1088,605,609,0.472632493483927,0.6426461901949203,0.6411314083677078,0.6418879056047198,0.9976428992339422,599,608,6
35,038,46,32290,0.8186745122328895,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
36,038,67,32283,0.8386457268531425,0,29,0,29,0,0.0,0.0,nan,0.0,nan,29,0,0
37,037,67,32738,0.8850571201661678,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0
38,123,22,32749,0.8285443830345964,620,1634,564,1070,56,0.3337278106508876,0.34516523867809057,0.9096774193548387,0.5004436557231589,2.6354838709677417,1070,56,0
39,106,22,32745,0.9126584211329974,90,245,84,161,6,0.3346613545816733,0.34285714285714286,0.9333333333333333,0.5014925373134328,2.7222222222222223,132,6,29
40,116,28,32753,0.8864226177754709,630,665,468,197,162,0.56590084643289,0.7037593984962406,0.7428571428571429,0.7227799227799228,1.0555555555555556,197,162,0
41,123,51,32700,0.8385321100917431,873,1940,794,1146,79,0.3932639920752848,0.4092783505154639,0.9095074455899198,0.5645218627799502,2.2222222222222223,1146,79,0
42,013,29,32636,0.8306777791396004,815,1160,718,442,97,0.5712012728719172,0.6189655172413793,0.8809815950920246,0.7270886075949367,1.4233128834355828,325,93,117
43,116,15,32737,0.8699636496930079,442,475,316,159,126,0.5257903494176372,0.6652631578947369,0.7149321266968326,0.6892039258451472,1.0746606334841629,154,124,5
