step,seq_id,frame_idx,active_points,rgb_valid_ratio,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
208,123,32,32750,0.8355114503816794,857,1961,782,1179,75,0.3840864440078585,0.39877613462519124,0.912485414235706,0.5550035486160397,2.2882147024504085,1179,75,0
153,123,49,32719,0.8473364100369816,793,1916,739,1177,54,0.3751269035532995,0.38569937369519836,0.9319041614123581,0.5455887781469176,2.416141235813367,1177,54,0
1534,054,8,32763,0.0,1628,2701,1519,1182,109,0.5405693950177936,0.5623843021103295,0.933046683046683,0.7017787017787018,1.6590909090909092,1175,109,7
686,123,33,32749,0.7934288069864729,927,2015,844,1171,83,0.4022878932316492,0.41885856079404465,0.9104638619201726,0.5737593473827328,2.173678532901834,1171,83,0
1213,123,72,32656,0.9048566878980892,1689,2574,1383,1191,306,0.48020833333333335,0.5372960372960373,0.8188277087033747,0.6488388458831809,1.5239786856127886,1171,306,20
1919,054,27,32712,0.0,2422,3484,2296,1188,126,0.6360110803324099,0.6590126291618829,0.9479768786127167,0.7775143921435828,1.4384805945499588,1160,123,28
280,123,66,32726,0.8584917191224103,1290,2190,1034,1156,256,0.42273098937040066,0.47214611872146117,0.8015503875968992,0.5942528735632184,1.697674418604651,1155,256,1
2138,123,47,32721,0.8217658384523701,729,1833,678,1155,51,0.35987261146496813,0.3698854337152209,0.9300411522633745,0.5292740046838408,2.51440329218107,1155,51,0
584,123,29,32757,0.850291540739384,768,1798,650,1148,118,0.33924843423799583,0.3615127919911012,0.8463541666666666,0.5066250974279034,2.3411458333333335,1147,118,1
41,123,51,32700,0.8385321100917431,873,1940,794,1146,79,0.3932639920752848,0.4092783505154639,0.9095074455899198,0.5645218627799502,2.2222222222222223,1146,79,0
1083,123,42,32731,0.8516085668021142,809,1883,745,1138,64,0.38263995891114533,0.39564524694636216,0.9208899876390606,0.5534918276374443,2.327564894932015,1138,64,0
1118,123,52,32717,0.814744628174955,824,1885,749,1136,75,0.3821428571428571,0.39734748010610077,0.9089805825242718,0.5529715762273901,2.287621359223301,1135,75,1
1786,123,31,32752,0.8316133365901319,808,1799,665,1134,143,0.34243048403707516,0.36964980544747084,0.823019801980198,0.5101649405446874,2.2264851485148514,1134,143,0
1558,123,35,32714,0.8428501558965581,939,2025,816,1209,123,0.37988826815642457,0.40296296296296297,0.8690095846645367,0.5506072874493927,2.1565495207667733,1133,123,76
1841,123,31,32752,0.8047752808988764,761,1745,620,1125,141,0.32873806998939553,0.3553008595988539,0.8147174770039421,0.4948124501197127,2.293035479632063,1125,141,0
1864,123,20,32741,0.8670779756268898,946,1969,844,1125,102,0.40753259295026556,0.4286439817166074,0.8921775898520085,0.579073756432247,2.0813953488372094,1124,102,1
1433,123,48,32727,0.8247624285757937,716,1778,655,1123,61,0.35617183251767265,0.3683914510686164,0.914804469273743,0.5252606255012029,2.483240223463687,1123,61,0
274,123,30,32756,0.8443338624984735,764,1766,644,1122,120,0.34146341463414637,0.3646659116647792,0.8429319371727748,0.509090909090909,2.31151832460733,1120,120,2
